DATE,PATH,TARGET,PC1,PC2,EYF3,EYF6,EYF9,EYF12,JGBF,flag_30min
2004/8/1,0.001347744,-0.00116334,0.095805104,-0.152678976,-0.001935484,0,0,0,-0.000890737,1
2004/9/1,0,0,0.109972363,-0.062611464,0,0,0,0,-0.003521001,1
2004/10/1,-5.30E-05,0.000262492,0.115702373,-0.05426715,0.000483871,0,0,0.000483871,-0.005429786,1
2004/11/1,-0.001630311,0.002574232,0.25884339,0.013055478,0.004666667,0,-0.002166667,0.004666667,-0.003005893,1
2004/12/1,-0.000512347,-0.001065391,0.062434096,-0.05213468,0,-0.002419355,-0.002903226,0,0.000598005,1
2005/1/1,0.002136417,-0.001238631,0.090016502,-0.185164961,0,-0.002580645,0.002096774,0,0.000430372,1
2005/2/1,0.001895119,-0.001225725,0.100608524,-0.180609985,-0.002142857,0,0.003214286,-0.002142857,-0.010827853,1
2005/3/1,0.00033559,-0.00166245,0.06139957,-0.108465757,-0.003064516,0,0,-0.003064516,-0.015359216,1
2005/4/1,-0.002449506,0.004355654,0.277989837,0.100206777,0.004166667,0.004166667,0.004166667,0,0.006675631,1
2005/5/1,-0.000914772,0.000226984,0.150172722,-0.039004039,0.000967742,-0.000967742,0.000967742,-0.001935484,0.000660552,1
2005/6/1,0.000999013,-0.001439978,0.086123328,-0.142424241,0,-0.003166667,0,-0.0005,-0.003499424,1
2005/7/1,0.001331427,0.000295772,0.16959071,-0.141843793,0.000806452,0,0,0.003225806,0.008006711,1
2005/8/1,0.003634077,0.001984625,0.35278685,-0.282384026,0.004193548,0,0.003709677,0.007903226,0.022649303,1
2005/9/1,0.001471217,-0.000104342,0.132603306,-0.140953665,0,0,0.001333333,0.001333333,0.004038982,1
2005/10/1,0.000510595,0.001382587,0.162756925,-0.064662714,0,0.003387097,0,0.003225806,0.003964323,1
2005/11/1,-0.006494527,0.003402244,0.206409126,0.27659462,0,0.006833333,-0.004333333,-0.0025,-0.004094236,1
2005/12/1,-0.003095533,-0.001247891,0.011866124,0.078513948,-0.002580645,0,-0.005806452,-0.003225806,-0.010844622,1
2006/1/1,0.004242254,-0.003619162,0.028510397,-0.323599343,-0.004354839,-0.001935484,-0.001935484,0.002419355,-0.001604629,1
2006/2/1,-0.001946162,-0.003267259,-0.01453409,-0.026866616,-0.003392857,-0.003392857,-0.006964286,-0.003571429,-0.002065161,1
2006/3/1,-0.017326219,-0.011114492,-0.631278488,0.689049125,-0.011129032,-0.01483871,-0.020322581,-0.03516129,-0.018481135,1
2006/4/1,-0.002882172,-0.003179274,-0.066351888,0.045052484,-0.0045,-0.002,-0.007166667,-0.005333333,-0.003075665,1
2006/5/1,0.003023489,-0.000914041,0.197737814,-0.272110251,-0.002419355,0.001774194,-0.002419355,0.005645161,0.006947385,1
2006/6/1,0.002601617,-0.001115491,0.12431888,-0.219811018,0.000333333,-0.002666667,0.003,0.000333333,-0.001060091,1
2006/7/1,-0.004278377,-0.010347226,-0.367977485,0.019123723,-0.008225806,-0.014032258,-0.014516129,-0.014032258,-0.015017658,1
2006/8/1,-0.005978482,-0.008858316,-0.337320782,0.126225425,-0.007580645,-0.011774194,-0.013870968,-0.01516129,-0.023175336,1
2006/9/1,0.001269168,0.002011113,0.218550098,-0.105787023,0.002166667,0.002166667,0.002166667,0.004333333,0.010516663,1
2006/10/1,0.003001901,-0.000582057,0.127902444,-0.219577015,-0.001774194,0.001451613,0.001451613,0.002741935,0.006430618,1
2006/11/1,0.003848724,0.001886439,0.345643067,-0.290832589,-0.002,0.0075,0.005,0.005,0.002124507,1
2006/12/1,-0.001046609,-0.005009809,-0.114856674,-0.069783221,-0.006290323,-0.003709677,-0.006290323,-0.006290323,-0.017174731,1
2007/1/1,0.003146778,-0.00462436,-0.013416422,-0.289699395,-0.006451613,-0.001935484,-0.001935484,-0.001935484,-0.018899664,1
2007/2/1,7.23E-05,0.005010029,0.291762893,0.009952013,0.003035714,0.007678571,0.004821429,0.004821429,-0.00278406,1
2007/3/1,-0.01076587,-0.000850292,-0.108400167,0.483022165,0,-0.003709677,-0.011129032,-0.011129032,-0.02019778,1
2007/4/1,0.000344391,-1.31E-05,0.161828349,-0.10705365,0,0,0.000666667,0,-0.001872867,1
2007/5/1,0.002249653,-8.57E-05,0.216004781,-0.220431872,0,0,0.004354839,0,-0.001132129,1
2007/6/1,-0.000762902,-0.004897286,-0.091357329,-0.09104335,-0.002666667,-0.008,-0.005333333,-0.005333333,-0.010979883,1
2007/7/1,-0.002585135,-0.004254149,-0.092704507,0.009169268,-0.002419355,-0.007258065,-0.00483871,-0.008064516,-0.012103406,1
2007/8/1,-0.001041142,0.000103924,0.053819381,0.016756624,0,0,0,-0.001774194,-0.001084764,1
2007/9/1,0.003378366,0.001699899,0.248237643,-0.22230958,0.002,0.002,0.004,0.006,0.010242771,1
2007/10/1,0.005208755,-0.000513095,0.215274412,-0.359448524,-0.00016129,9.17E-15,0.002903226,0.006129032,-0.004902416,1
2007/11/1,-0.002420301,0.005551056,0.378362091,0.084568261,0.003333333,0.008333333,0.000333333,0.005333333,-0.017834147,1
2007/12/1,-0.003445312,-0.003542341,-0.114880518,0.083330551,-0.003870968,-0.003870968,-0.005967742,-0.007903226,-0.009841545,1
2008/1/1,-0.001133585,-0.006616862,-0.179122458,-0.086993084,-0.006129032,-0.007741935,-0.006129032,-0.009193548,-0.008135817,1
2008/2/1,0.001015595,-0.002728379,0.044118146,-0.165261899,0,-0.006206897,0,-0.002586207,-0.011965878,1
2008/3/1,0.004425415,0.000429771,0.237836524,-0.305722515,0,0.001451613,0.008064516,0.001451613,-0.002923879,1
2008/4/1,0.002975758,-0.003298194,0.028229734,-0.258827606,-0.0035,-0.002833333,0.001833333,-0.002666667,-0.004608493,1
2008/5/1,-0.004488413,-0.00144903,0.037102861,0.115396293,0.003387097,-0.008225806,-0.006774194,-0.003387097,-0.018292722,1
2008/6/1,-0.005508786,-0.003947028,-0.122685491,0.159884444,-0.003,-0.006166667,-0.009166667,-0.009166667,-0.02565866,1
2008/7/1,-0.001824329,0.001912309,0.144476669,0.062647092,0.000645161,0.003387097,-0.001451613,0.001290323,-0.004362532,1
